url,nom,prix,duree,taux_rentabilite,status
https://app.bricks.co/properties/3959bfcf-45fa-43c5-a503-59b577e21597,Love Room X,137000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/497e15e6-af37-4c94-9b49-07912c19071c,Hôtel 4* Théoule sur mer,1100000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/e843a039-af3c-4bfb-be62-bba196bce6a4,Parking automatisé 12 places,250000,5 ans,"11,00 % /an",Remboursé
https://app.bricks.co/properties/20f022e7-81f4-4e71-bcbb-43244d55ca47,Villa des Mimosas,405000,1 an et 6 mois,"10,00 % /an",Financé
https://app.bricks.co/properties/e0ab34ea-9726-4b91-a0c2-092c18858572,New Tropicana Boulangeries,868000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/75c21446-a5cc-43c2-b838-1e45ce5e3a6b,Villas la Capicciola - Palombaggia,2550000,2 ans,"12,00 % /an",Remboursé
https://app.bricks.co/properties/5b29c4d6-1e5a-4b46-8b90-53677285067c,Centauris - 3 appartements,566000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/d3843a34-dbbd-47b1-a96a-90cf5690ad47,Silverstone - Hôtel Hilton,1800000,3 ans,"11,50 % /an",Financé
https://app.bricks.co/properties/006f4799-eef6-40ee-8215-e96c2232e33e,Camping Le Lys Blanc Royan,200000,2 ans,"11,00 % /an",Financé
https://app.bricks.co/properties/2060233d-db43-47e5-8ad9-1bc1918a946d,Supernova IV - 2 appartements Paris,593000,6 mois,"9,00 % /an",Financé
https://app.bricks.co/properties/f6868348-f8f2-429c-8072-dc3786804989,Immeuble Falaise,600000,1 an et 6 mois,"10,00 % /an",Financé
https://app.bricks.co/properties/78ca5b8d-085a-4c63-93ca-2ba42bee55f9,Villa Saint-Tropez,3450000,6 mois,"12,00 % /an",Financé
https://app.bricks.co/properties/bcbb11c1-cefe-49b1-9edb-112a030840f5,Appartement Chasseurs,164000,10 mois,"10,00 % /an",Financé
https://app.bricks.co/properties/fd45f542-3192-4d5a-af1f-f864a831195a,Tissot - Terrain Nimes,398000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/24271e39-e43e-4105-a6bb-c746d90c41c9,Villa Gypsea Saint-Barth,2000000,3 ans,"13,00 % /an",Financé
https://app.bricks.co/properties/ae7e06ac-d17d-4ff1-9b8f-1d2a341a05a3,Appartement Michelet,65000,2 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/f2452e12-8198-45d9-b3e1-b8d705d67fed,Villas Luxe - Lac Léman,500000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/f44d209c-7e77-4f05-aacc-5edac1f26440,Immeuble Jean Jaurès - Guadeloupe,120000,3 ans,"9,00 % /an",Financé
https://app.bricks.co/properties/19992004-058d-4518-a524-0f8bff56626c,IMMO3 II - Immeubles Campans,800000,2 ans,"12,00 % /an",Financé
https://app.bricks.co/properties/497fab82-35fc-457e-b424-c47a119f507a,Immeuble Champs Elysées Wagram,1200000,3 ans,"10,00 % /an",Remboursé
https://app.bricks.co/properties/c09497b2-34de-4db7-87b5-794a925e56f3,Villa luxe le Couleret,1000000,1 an et 6 mois,"11,00 % /an",Financé
https://app.bricks.co/properties/2705b837-5113-4689-aed7-17b5af07b086,Ecolodges Bleu Minuit,200000,3 ans,"10,00 % /an",Financé
https://app.bricks.co/properties/fe22440a-56d2-4616-a816-0d01578e70a2,Immeuble Evermind,596000,1 an,"10,00 % /an",Financé
https://app.bricks.co/properties/8ca32b06-3a1d-4a78-8baa-a64af146d921,Supernova III - 3 appartements Paris,1022000,1 an,"9,00 % /an",Financé
https://app.bricks.co/properties/2a63ef08-882b-442d-8d40-53084a4a36f4,Immeubles Denormandie,1000000,2 ans,"12,00 % /an",Financé
https://app.bricks.co/properties/a7a7b491-25bd-4cea-a904-4404d785d2d5,Padel Tennis Pau,474000,3 ans,"10,00 % /an",Financé
